overall_rates,status,title,date,position,location,pros,cons
5,Former Employee,Retail assistant review,08-May-23, Retail Assistant,None,Was fun I enjoyed working there.,Rude customers during the sales
2,"Current Employee, more than 3 years",Avoid!!,23-May-23, Sales Associate,"Manchester City Centre, England",1. Making different  people  2. Potential for careers 3.  Good discount  4. Standard pay,"1. Overworking yourself 2. Long hours 3. Management isn't always helpful unless you're friends with them 4. Rude customers 5. Unkind senior management 6. Constantly lacking staff 7. You will be physically, psychologically, and emotionally fatigued"
3,Former Employee,Not the worst but not the best either,22-May-23, Retail Sales Assistant ,None,Not bad salary Not too stressful,Uniform Enviornment Staff and managers not very helpful They make the best staff to multitask on so many things Undestaff Shifts are not the best They don't value your hardwork
3,Former Employee,Experience at Zara,28-Jan-23, Sales Assistant ,None," I was able to broaden my skills whilst working at ZARA as I was able to, not only communicate with employees, but I was also able to make customers feel comfortable and satisfied by the end of the conversation. Due to the communication skills I had, I was able to satisfy and fulfil the needs and wants of customers, meeting their requirements.  Furthermore, I was also able to sell highend goods to customers as they'd ask for my opinion and help before purchasing a product from the store.  I was able to work with employees in a group to ensure that customers within the store remained satisfied and happy with the services provided.  I was also able to learn how to work under pressure which was entirely beneficial as, working in Oxford Street, it meant that whatever time it was, the store would be very busy. Therefore, after adapting to the workplace and being able to understand how everything works, I got the hang of it and would say that I definitely increased customer satisfaction rate.","I feel that there were a handful of employees that felt satisfied. The store was very diverse, however, although it looked diverse, there was a clear segregation within the store, meaning it was uncomfortable to work at times. Therefore, I felt the store was not worth staying at. I also believe that the pay was not enough for the job that we had to do, but that's not an issue anymore as there was a pay rise to £12 an hour."
3,Former Employee,law salaries,26-May-23, Sales Associate,"Reading, England","career growth, good team, good manager",always very busy and not enough staff
3,"Former Employee, less than 1 year",Zara,26-May-23, Retail Sales Assistant,"London, England","Great Staff, Good stores and management.",Understaffed usually so have to do double the work.
2,Current Employee,Hectic,25-May-23, Sales Associate,"London, England",nice people to meet and get to know,"super hectic and disorganised, they will have you running around all day like crazy"
3,Former Employee,Zara,26-May-23, Sales Associate,"London, England",Good pay Nice people You make bonus,Isolating if your not Spanish
3,"Former Employee, less than 1 year",Sales Assistant Position - Zara Reading,23-May-23, Sales Assistant,"Reading, England",Employee discount. Uniforms were provided.,Low working hour flexibility and overall hectic atmosphere.
3,"Former Employee, less than 1 year",Fine,24-May-23, Intern,"London, England",Great environment to see fashion,Some employees are rude to each other
3,Former Employee,.,22-May-23, Visual Merchandiser,"London, England",You get some bonuses and discount for clothes,you will have to work multiple jobs for same pay
4,Current Employee,It's good but too much to work under pressure,20-May-23, Sales Assistant,"London, England",Good Salary and monthly incentives,Lot of work especially on weekends
1,"Former Employee, less than 1 year",Horrible,24-Feb-23, Sales Associate/Cashier ,None,Literally just the pay was okay!,"The managers? Horrible. Staff? Horrible (with a legit exception of like 3 people that were nice). Customers? Horrible. Literally nothing good about working here😂 the store manager is the worst person I’ve come across in my life and I still don’t know how she holds the position of a STORE manager when she’s that incompetent in managing and speaking to people as humans and not ROBOTS and DOGS. Floor managers also hideous. Giving me overtime without asking me and then acting like they changed it on the rota and it’s my fault that I hadn’t seen it when in reality there had been no changes. Simply manipulating and gaslighting you. Working conditions were absolutely horrible, so hot and we have to run up and down all the time obeying to 10 different managers because they don’t communicate with each other. I quit after 34 weeks and so did many of the people that started same time with me!"
3,"Former Employee, more than 1 year",good pay but hectic,15-May-23, Sales Associate/Cashier,"Oxford, England",good pay and nice coworkers,stressful because it gets busy most days
3,"Former Employee, more than 1 year",entry level,16-May-23, Sales Assistant,"London, England","not many, basic pay. Starting job",limited opportunities and long hours
4,"Former Employee, less than 1 year",Good,15-May-23, Sales Assistant,"Greenhithe, England",Everyone is supportive of each other,"Things can get heated, groups are a thing"
2,Former Employee,It was ok,14-May-23, Retail Sales Assistant ,None,Staff discount was the only good thing,Long hours Always hot Managers only care about Spanish employees
3,"Current Employee, less than 1 year",Sales assistant at Zara,11-May-23, Sales Assistant,"Manchester, England",Good working environment and friendly people,Too much work for not a lot of money
4,Former Employee,Vaue,09-May-23, Sales Associate/Cashier,"London, England","The people are so great, from all around the world.",Money and the way that some of the managers speak to the team.
1,Current Employee,Avoid,21-May-23, Commercial,"London, England","25% Discount, team, learn skills","Unpaid, to much work, people is not nice"
5,Current Employee,Best Work Experience,11-Apr-23, Sales Assistant ,None,Currently i am working at zara and i must say it is the best work experience and expose i have gained in the past fee months. The staff is really nice and everyday we are booming our sales! I am delightful to be a part of such an efficient working team of Zara,Reduce the timings of the shop.
5,Former Employee,"Good opportunity, good money",08-May-23, Sales Assistant,"London, England",Vary diverse and welcoming environment,Very high paced and hard to keep up with
3,"Current Employee, more than 1 year",good for student who wants to earn extra money,28-Apr-23, Overnight Stock Associate,"London, England","Good salary. 2day work shift, very convenient for students","fastpaced environment, not good management. шt is impossible to plan a holiday even 6 months in advance"
4,Former Employee,Ok,09-May-23, Analyst,"London, England",Colleagues are friendly and likeable,Stressful guidelines and requirements a lot
2,Former Employee,Don’t work here,09-May-23, Sales Associate ,None,You will be over worked.,Discount on inditex stores is good
5,Current Employee,Good,05-May-23, Sales Associate ,None,"Benefits, atmosphere, pay, people, Nothing else",I dont have any cons for this position
2,"Former Employee, more than 3 years",As a first job experience its OK,03-Mar-23, Sales Assistant,"London, England","You can learn a lot from customers services , how to deal with people, some benefits like employee discount , I realised few woman take the job because of the maternity leave..","overall the salary is low compared to the amount of work you handle, the environment its terrible because of the rudeness managers, MOST of them doesn’t know how to speak properly they like to YELL AT YOU. Educated people will learn from them how NOT TO BE. I can tell .. i've work for 3 years in 2 different stores."
3,"Former Employee, less than 1 year",Ok,02-May-23, Sales Associate,"London, England",Good pay for the amount of work,Not good for work life balance Very mentally challenging
1,"Current Employee, less than 1 year",bad work system,11-May-23, Sales Assistant,"London, England",Employees always change. It's a tough job in less than a month.,There is no welfare for the employees. Schedules change all the time...
3,"Former Employee, more than 3 years",Enjoyable,30-Apr-23, Commercial,"London, England","Employee discount, fast paced environment, great break times, one hour and 20 minutes for an 8 hour shift","Confusing terminology, very physically demanding, cliques"
4,Former Employee,Salary,25-Apr-23, Sales Assistant,"Derby, England",not minimum wage flexible hours,long hours rude customers sometimes
5,Former Employee,Good experience,23-Apr-23, Cashier,"London, England","Friendly team, international, team focussed","Fast paced, stressful, low salary"
3,Former Employee,not impressed,15-Apr-23, Retail Sales Associate ,None,"customers are nice, hard working colleagues","low salary, overloaded, way too many tasks for one person to deal with at the same time"
3,"Former Employee, less than 1 year",Average at Best,21-Mar-23, Sales Associate,"Edinburgh, Scotland","Not many come to mind, however, it was ideal having a work uniform.","If managers like you, you'll have an okay time, but if they don't like you, it's not great. I was fortunate enough to be liked but that didn't come easily."
1,Former Employee,Zara,05-May-23, Anonymous Employee ,None,"Discount is great, team too","Long hours, management think they’re above everyone"
5,Current Employee,Fulfilling,04-Apr-23, Sales Associate ,None,"Very nice environment, Good worklife balance",stressful at times as it’s pressuring when busy and understaffed and then a lot of responsibilities is thrown at you because you have to cover or do more tasks you were originally signed to so
3,"Former Employee, more than 3 years",Good for growth in London,14-Feb-23, Commercial,"London, England",Quick growth. Fairly good retail salaries.,"Managers lack people managing skills, resulting in abusive and borderline illegal behaviours sometimes. Not flexible at all. Targets keep changing to prevent stores from reaching them."
5,"Current Employee, more than 1 year",A good job option,31-Mar-23, ,"London, England","The pay is decent, sick pay, a big team, very helpful managers,",The pay and organisation can be improved
3,Current Employee,student work,10-Apr-23, Sales Associate ,None,"payment on time, flexible hours to work",to appreciate more his employees and give some rewards
4,"Former Employee, more than 5 years",Former employee,12-Apr-23, Retail Sales Assistant,"London, England","Discount, great people, clothes, fast paced","Rude customers, long hours, tiring"
1,"Former Employee, more than 5 years",Worst place to work,21-Apr-23, Sales Associate,"Leeds, England",25% Discount for employees And that’s it,Stressful working environment Low pay Bullying on daily basis Rude customers No social life
3,"Current Employee, more than 1 year",Good for a while.,18-Mar-23, Cashier,"London, England",Competitive pay rate Good amount of holidays and flexibility to request dates Compatible with studying Opportunities to grow in the company,"Exhausting customer Service Bad company organization Middle positions (senior..., supervisor, floor manager, etc) responsibilities not worth for the pay increase."
5,"Current Employee, less than 1 year",Good,04-Apr-23, Retail Sales Associate,"London, England",The managers treated us fairly,We weren't given a lot of holiday days
2,"Current Employee, less than 1 year",Poor,02-Apr-23, Retail Sales Associate,"Manchester, England",Discount is the only pro,Rude managers Rude staff Understaffed Unorganised shift scheduling
2,Current Employee,Poor management,28-Mar-23, Operations Assistant,"Liverpool, England",Staff discount and friendly atmosphere amongst staff,Management have communication issues which affect line managers and then staff
1,"Former Employee, more than 1 year",Okay job,13-Apr-23, Customer Service,"Leeds, England",Only pro is when you need money you work,Money was decent but a lot go work
3,"Former Employee, less than 1 year",decent,07-Jan-23, Sales Assistant,"London, England","you get discounts on clothing items even sale items, which was quite nice.","management is terrible sometimes when i first started working with the company i loved it since i had good managers, then all the good managers left and new ones came. The new managers often had power trips where they spoke to staff rudely and never showed any respect but expected it back. I would definitely say the workplace depends on the management. Also with some managers they won't talk to you unless you speak spanish which is quite rude."
